Gemeente,Aardgas,Elektriciteit
Goeree-Overflakkee,23305,133928
Overbetuwe,23338,142125
Smallingerland,23384,181612
Goes,23734,129635
Tholen,23773,62171
Ridderkerk,23782,139858
Bedum,23962,87317
Den Helder,24522,258141
Assen,24561,158136
Schagen,24563,188002
Zwartewaterland,25122,158845
Wijchen,25259,115214
Harderwijk,25348,140911
Zoeterwoude,25700,74700
Son en Breugel,25890,119436
Uden,26019,197936
Kaag en Braassem,26300,73010
Koggenland,26781,65691
Zeist,26788,154056
Eijsden-Margraten,26903,79342
Weert,27118,261384
Nijkerk,27316,173718
Waalwijk,27371,266521
Cuijk,27977,190987
Vlaardingen,29019,130802
Beverwijk,29217,92313
Boxmeer,29584,169531
Maasdriel,29737,118044
Barneveld,30117,237127
Hardenberg,30144,268968
Zoetermeer,30290,292935
Renkum,30293,365394
Hilversum,30295,243071
Drimmelen,31039,73659
Nissewaard,31069,187500
Katwijk,31370,156019
Ermelo,31902,106679
Nieuwkoop,32201,81534
Meppel,32434,171603
Alphen aan den Rijn,32557,237252
Almere,33567,471725
Leiden,34606,370614
Tiel,34987,184259
Amstelveen,35039,247903
Schouwen-Duiveland,35392,107917
Doetinchem,37322,234342
Kerkrade,37430,226221
Eemsmond,37440,643906
Someren,38161,83806
Lochem,38254,141146
Almelo,38392,501288
Kapelle,38639,47365
Coevorden,38928,205902
Menameradiel,39432,31096
Aalsmeer,40341,186449
Lelystad,40748,276359
Dordrecht,41085,359456
Amersfoort,41357,360027
Middelburg (Z.),42395,134555
Gouda,42711,196041
De Fryske Marren,42911,203943
Heerlen,43158,349097
Alkmaar,44784,347008
Lingewaard,44890,91434
Laarbeek,44993,84192
Franekeradeel,45675,80722
Oosterhout,45693,288016
Haarlem,47061,390036
Schiedam,47121,212634
Ede,47189,361157
Oldambt,47319,223394
Heerenveen,47504,187138
Waddinxveen,47575,214017
Vlissingen,47963,200038
Neerijnen,48062,67981
Rijnwaarden,48259,48530
Venray,48678,278344
Woerden,48689,140360
Gorinchem,48808,164579
Berkelland,49669,185730
Brielle,50216,63081
Midden-Drenthe,50652,154325
Deventer,50667,358305
Roosendaal,50903,285223
Bronckhorst,50920,113516
Heerhugowaard,51110,151377
Zwijndrecht,52236,127313
's-Hertogenbosch,52807,530011
Arnhem,53693,509147
Asten,53837,91747
Westvoorne,56308,54631
Heusden,56597,139250
Súdwest-Fryslân,56741,273845
Hoogeveen,58131,219519
Zwolle,59935,469231
Kampen,60288,148712
Veendam,61464,220487
Leerdam,63084,164019
Helmond,63590,405445
Oss,64362,475048
Enschede,64669,496983
Halderberge,64881,94777
Delft,67203,404381
Dongen,71400,184136
Vlagtwedde,74117,61546
Uithoorn,75493,112313
Breda,77436,526258
Nijmegen,80152,634530
Leeuwarden,80409,327545
Etten-Leur,81058,270124
Steenbergen,91596,165903
Medemblik,93073,197820
Veghel,96426,341205
Apeldoorn,97673,590980
Utrecht (gemeente),98850,1042595
Tilburg,102576,870549
Midden-Delfland,103955,168258
Reimerswaal,104697,234113
Eindhoven,105978,951645
Hoogezand-Sappemeer,112683,297403
Horst aan de Maas,115783,247694
Haarlemmermeer,117923,1065097
Noordoostpolder,120062,275575
's-Gravenhage (gemeente),122738,1293227
Emmen,122752,377118
Pijnacker-Nootdorp,124419,228996
Maastricht,127831,701275
Zuidplas,127910,189354
Venlo,141087,618733
Peel en Maas,141101,184904
Zaanstad,142243,500152
Groningen (gemeente),149951,616998
Brummen,155631,114342
Zaltbommel,163112,296208
Roermond,163322,460501
Hengelo (O.),191373,279595
Hollands Kroon,242733,260858
Lansingerland,266182,390891
Bergen op Zoom,314633,598270
Moerdijk,373000,977862
Velsen,405073,3118276
Amsterdam,412345,3506174
Delfzijl,512806,1285394
Westland,954107,1262536
Rotterdam,3426991,6736816
Beek (L.),.,61886
Borsele,.,508081
Landgraaf,.,67278
Sittard-Geleen,.,362968
Terneuzen,.,827145
