Gemeente,Totaal,Percentage,Wind,Zon,Gemeente_CBS,Gemeente_2023
Geldrop-Mierlo,61,2,,1,Geldrop-Mierlo,Geldrop-Mierlo
Gemert-Bakel,160,6.8,,4,Gemert-Bakel,Gemert-Bakel
Gennep,44,,,1,Gennep,Gennep
Giessenlanden,35,2.5,,1,Giessenlanden,Molenlanden
Gilze en Rijen,78,3.2,,1,Gilze en Rijen,Gilze en Rijen
Goeree-Overflakkee,549,12.9,416,6,Goeree-Overflakkee,Goeree-Overflakkee
Goes,87,2.6,4,2,Goes,Goes
Goirle,49,3.7,,1,Goirle,Goirle
Gorinchem,30,0.8,,1,Gorinchem,Gorinchem
Gouda,49,1.1,4,1,Gouda,Gouda
Grave,26,3.5,,1,Grave,Land van Cuijk
Groesbeek,102,,,1,Berg en Dal,Berg en Dal
Groningen,191,1.3,1,5,Groningen (gemeente),Groningen
Grootegast,47,5.1,,1,Grootegast,Westerkwartier
Gulpen-Wittem,57,,,2,Gulpen-Wittem,Gulpen-Wittem
Haaksbergen,147,7.5,,2,Haaksbergen,Haaksbergen
Haaren,64,,,1,Haaren,
Haarlem,112,1.3,7,2,Haarlem,Haarlem
Haarlemmerliede c.a.,14,1.5,,0,Haarlemmerliede en Spaarnwoude,Haarlemmermeer
Haarlemmermeer,273,1.4,32,4,Haarlemmermeer,Haarlemmermeer
Halderberge,214,,142,2,Halderberge,Halderberge
Hardenberg,315,5.8,,9,Hardenberg,Hardenberg
Harderwijk,107,2.9,,2,Harderwijk,Harderwijk
Hardinxveld-Giessendam,21,1.2,,0,Hardinxveld-Giessendam,Hardinxveld-Giessendam
Haren,37,2.4,,1,Haren,Groningen
Harlingen,1295,58.1,115,1,Harlingen,Harlingen
Hattem,39,,,1,Hattem,Hattem
Heemskerk,58,,15,1,Heemskerk,Heemskerk
Heemstede,25,1.7,,1,Heemstede,Heemstede
Heerde,96,,,1,Heerde,Heerde
Heerenveen,150,3.2,10,3,Heerenveen,Heerenveen
Heerhugowaard,136,,51,6,Heerhugowaard,Dijk en Waard
Heerlen,99,1.3,4,3,Heerlen,Heerlen
Heeze-Leende,133,7.9,,1,Heeze-Leende,Heeze-Leende
Heiloo,40,2.7,,1,Heiloo,Heiloo
Hellendoorn,159,5.2,,3,Hellendoorn,Hellendoorn
Hellevoetsluis,64,,26,1,Hellevoetsluis,Hellevoetsluis
Helmond,130,,,2,Helmond,Helmond
Hendrik-Ido-Ambacht,24,1.5,,0,Hendrik-Ido-Ambacht,Hendrik-Ido-Ambacht
Hengelo,3767,43.9,,2,Hengelo (O.),Hengelo
het Bildt,104,15.6,73,2,het Bildt,Waadhoeke
Heumen,55,3.8,,1,Heumen,Heumen
Heusden,88,1.8,,2,Heusden,Heusden
Hillegom,21,1.7,,1,Hillegom,Hillegom
Hilvarenbeek,134,10.7,,1,Hilvarenbeek,Hilvarenbeek
Hilversum,103,1.7,,1,Hilversum,Hilversum
Hof van Twente,372,10.2,,4,Hof van Twente,Hof van Twente
Hollands Kroon,1404,11.8,1247,9,Hollands Kroon,Hollands Kroon
Hoogeveen,133,2.2,,3,Hoogeveen,Hoogeveen
Hoogezand-Sappemeer,93,1.4,,3,Hoogezand-Sappemeer,Midden-Groningen
Hoorn,70,,5,2,Hoorn,Hoorn
Horst aan de Maas,304,3.6,,5,Horst aan de Maas,Horst aan de Maas
Houten,57,1.8,,10,Houten,Houten
Huizen,45,,,1,Huizen,Huizen
Hulst,98,,,1,Hulst,Hulst
IJsselstein,30,,,1,IJsselstein,IJsselstein
Kaag en Braassem,64,2,,1,Kaag en Braassem,Kaag en Braassem
Kampen,113,2.3,,4,Kampen,Kampen
Kapelle,104,,70,1,Kapelle,Kapelle
Katwijk,52,1.4,,1,Katwijk,Katwijk
Kerkrade,70,1.8,25,2,Kerkrade,Kerkrade
Koggenland,158,,100,1,Koggenland,Koggenland
Kollumerland c.a.,58,,12,2,Kollumerland en Nieuwkruisland,Noardeast-Fryslân
Korendijk,26,4,,1,Korendijk,Hoeksche Waard
Krimpen aan den IJssel,19,,,0,Krimpen aan den IJssel,Krimpen aan den IJssel
Krimpenerwaard,117,3.5,,2,Krimpenerwaard,Krimpenerwaard
Laarbeek,275,8.8,,2,Laarbeek,Laarbeek
Landerd,82,5.4,,2,Landerd,Maashorst
Landgraaf,83,,,2,Landgraaf,Landgraaf
Landsmeer,16,,2,0,Landsmeer,Landsmeer
Langedijk,63,,5,2,Langedijk,Dijk en Waard
Lansingerland,76,0.6,,5,Lansingerland,Lansingerland
Laren,25,1.9,,0,Laren (NH.),Laren
Leek,49,,,1,Leek,Westerkwartier
Leerdam,26,,,0,Leerdam,Vijfheerenlanden
Leeuwarden,200,2.3,30,6,Leeuwarden,Leeuwarden
Leeuwarderadeel,46,8.2,9,1,Leeuwarderadeel,Leeuwarden
Leiden,107,1.5,,2,Leiden,Leiden
Leiderdorp,42,2.4,,0,Leiderdorp,Leiderdorp
Leidschendam-Voorburg,60,1.2,,1,Leidschendam-Voorburg,Leidschendam-Voorburg
Lelystad,1381,18,1041,4,Lelystad,Lelystad
Leudal,885,,46,5,Leudal,Leudal
Leusden,75,,,2,Leusden,Leusden
Lingewaal,32,,,0,Lingewaal,West Betuwe
Lingewaard,126,2.9,,1,Lingewaard,Lingewaard
Lisse,27,2,,1,Lisse,Lisse
Littenseradiel,191,23,134,2,Littenseradiel,Waadhoeke
Lochem,176,4.4,,2,Lochem,Lochem
Loon op Zand,69,,,1,Loon op Zand,Loon op Zand
Lopik,74,6.3,30,1,Lopik,Lopik
Loppersum,43,4.7,0,1,Loppersum,Eemsdelta
Losser,86,4.8,,1,Losser,Losser
Maasdriel,62,1.8,,2,Maasdriel,Maasdriel
Maasgouw,174,,,2,Maasgouw,Maasgouw
Maassluis,13,0.9,,0,Maassluis,Maassluis
Maastricht,123,1.1,,6,Maastricht,Maastricht
Marum,54,,1,1,Marum,Westerkwartier
Medemblik,191,3.1,96,3,Medemblik,Medemblik
Meerssen,37,2.5,,1,Meerssen,Meerssen
Menameradiel,236,10.2,39,1,Menameradiel,Waadhoeke
Menterwolde,77,,1,1,Menterwolde,Midden-Groningen
Meppel,53,1.6,4,2,Meppel,Meppel
Middelburg,98,,44,2,Middelburg (Z.),Middelburg
Midden-Delfland,89,1.8,,1,Midden-Delfland,Midden-Delfland
Midden-Drenthe,1288,25.6,,4,Midden-Drenthe,Midden-Drenthe
Mill en Sint Hubert,123,,,1,Mill en Sint Hubert,Land van Cuijk
Moerdijk,5895,,111,2,Moerdijk,Moerdijk
Molenwaard,67,,,1,Molenwaard,Molenlanden
Montferland,119,4.2,,4,Montferland,Montferland
Montfoort,27,3.2,,1,Montfoort,Montfoort
Mook en Middelaar,28,5.7,,0,Mook en Middelaar,Mook en Middelaar
Neder-Betuwe,172,4.9,40,0,Neder-Betuwe,Neder-Betuwe
Nederweert,80,6,,3,Nederweert,Nederweert
Neerijnen,35,,,1,Neerijnen,West Betuwe
Nieuwegein,65,1.4,,2,Nieuwegein,Nieuwegein
Nieuwkoop,51,2,,1,Nieuwkoop,Nieuwkoop
Nijkerk,84,,,2,Nijkerk,Nijkerk
Nijmegen,2205,15.8,,4,Nijmegen,Nijmegen
Nissewaard,74,,,2,Nissewaard,Nissewaard
Noord-Beveland,256,,225,1,Noord-Beveland,Noord-Beveland
Noordenveld,164,7,,3,Noordenveld,Noordenveld
Noordoostpolder,531,5.4,101,7,Noordoostpolder,Noordoostpolder
Noordwijk,33,1.7,,0,Noordwijk,Noordwijk
Noordwijkerhout,29,2.1,,1,Noordwijkerhout,Noordwijk
Nuenen c.a.,133,8.3,,2,"Nuenen, Gerwen en Nederwetten","Nuenen, Gerwen en Nederwetten"
Nunspeet,193,6.5,,1,Nunspeet,Nunspeet
Nuth,37,2.6,,2,Nuth,Beekdaelen
Oegstgeest,19,1.3,,1,Oegstgeest,Oegstgeest
Oirschot,145,,,1,Oirschot,Oirschot
Oisterwijk,73,3.4,,1,Oisterwijk,Oisterwijk
Oldambt,208,,10,2,Oldambt,Oldambt
Oldebroek,77,,,1,Oldebroek,Oldebroek
Oldenzaal,48,2,,1,Oldenzaal,Oldenzaal
Olst-Wijhe,75,5.3,,4,Olst-Wijhe,Olst-Wijhe
Ommen,168,8,,3,Ommen,Ommen
Onderbanken,24,,,1,Onderbanken,Beekdaelen
Oost Gelre,133,5.3,,3,Oost Gelre,Oost Gelre
Oosterhout,188,,85,3,Oosterhout,Oosterhout
Ooststellingwerf,161,7.1,1,1,Ooststellingwerf,Ooststellingwerf
Oostzaan,10,,,0,Oostzaan,Oostzaan
Opmeer,39,4.5,,1,Opmeer,Opmeer
Opsterland,172,6,,3,Opsterland,Opsterland
Oss,269,3.3,,4,Oss,Oss
Oud-Beijerland,23,1.5,,1,Oud-Beijerland,Hoeksche Waard
Oude IJsselstreek,129,,,3,Oude IJsselstreek,Oude IJsselstreek
Ouder-Amstel,35,1.4,15,0,Ouder-Amstel,Ouder-Amstel
Oudewater,17,2.9,,0,Oudewater,Oudewater
Overbetuwe,93,1.7,,3,Overbetuwe,Overbetuwe
Papendrecht,25,,,1,Papendrecht,Papendrecht
Peel en Maas,214,2.7,,9,Peel en Maas,Peel en Maas
Pekela,39,2.7,1,1,Pekela,Pekela
Pijnacker-Nootdorp,116,1.6,,2,Pijnacker-Nootdorp,Pijnacker-Nootdorp
Purmerend,55,,,4,Purmerend,Purmerend
Putten,140,,0,1,Putten,Putten
Raalte,222,7.4,,6,Raalte,Raalte
Reimerswaal,193,,116,2,Reimerswaal,Reimerswaal
Renkum,893,,,1,Renkum,Renkum
Renswoude,13,2.7,,0,Renswoude,Renswoude
Reusel-De Mierden,81,,,2,Reusel-De Mierden,Reusel-De Mierden
Rheden,127,4,,1,Rheden,Rheden
Rhenen,70,5.1,,1,Rhenen,Rhenen
Ridderkerk,43,1,,1,Ridderkerk,Ridderkerk
Rijnwaarden,21,,,1,Rijnwaarden,Zevenaar
Rijssen-Holten,193,5.4,,3,Rijssen-Holten,Rijssen-Holten
Rijswijk,35,1,,0,Rijswijk (ZH.),Rijswijk
Roerdalen,110,,,2,Roerdalen,Roerdalen
Roermond,118,1.2,,2,Roermond,Roermond
Roosendaal,749,,,3,Roosendaal,Roosendaal
Rotterdam,5886,4.3,1034,8,Rotterdam,Rotterdam
Rozendaal,43,,,0,Rozendaal,Rozendaal
Rucphen,81,4.2,,1,Rucphen,Rucphen
Schagen,290,,165,6,Schagen,Schagen
Scherpenzeel,17,,,1,Scherpenzeel,Scherpenzeel
Schiedam,36,0.7,,2,Schiedam,Schiedam
Schiermonnikoog,5,3.7,,0,Schiermonnikoog,Schiermonnikoog
Schijndel,228,15,,4,Schijndel,Meierijstad
Schinnen,36,,,1,Schinnen,Beekdaelen
Schouwen-Duiveland,145,3.5,9,2,Schouwen-Duiveland,Schouwen-Duiveland
's-Hertogenbosch,226,1.9,,8,'s-Hertogenbosch,'s-Hertogenbosch
Simpelveld,18,2.9,,1,Simpelveld,Simpelveld
Sint Anthonis,179,16,,2,Sint Anthonis,Land van Cuijk
Sint-Michielsgestel,78,4.5,,2,Sint-Michielsgestel,Sint-Michielsgestel
Sint-Oedenrode,50,3.1,,1,Sint-Oedenrode,Meierijstad
